,precision,recall,f1-score,support
Malvina Choieree,0.75,1.0,0.8571428571428571,3.0
Your nephew Maroun,0.9090909090909091,1.0,0.9523809523809523,10.0
Sister Victor N. Khoury,1.0,1.0,1.0,9.0
Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),1.0,0.8333333333333334,0.9090909090909091,6.0
Father Youssef Nassar,0.6666666666666666,1.0,0.8,2.0
Shibli Barakat witnesses,1.0,1.0,1.0,1.0
Mousssa Farhat Farah,0.6666666666666666,1.0,0.8,2.0
Nassar Tanios Al Samarani,1.0,0.5,0.6666666666666666,2.0
Keserwan Finance Officer,1.0,1.0,1.0,2.0
Serhal Ounaissy,1.0,1.0,1.0,2.0
Elias Abdallah,1.0,1.0,1.0,3.0
Your son George,1.0,0.9047619047619048,0.95,21.0
Amin Farhat,1.0,1.0,1.0,10.0
Patriarch Elias Hoayek,1.0,1.0,1.0,10.0
Bishop Boulos Akl,1.0,1.0,1.0,7.0
Ameen Rihani,0.9929577464788732,0.986013986013986,0.9894736842105263,143.0
Shibli N. Damus,0.975,0.975,0.975,40.0
Naoum Mokarzel,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
Eissa alKhouri,1.0,0.8421052631578947,0.9142857142857143,19.0
Girgi Dimitri Sursock,0.8571428571428571,0.8,0.8275862068965517,15.0
Felix Faris,0.9459459459459459,0.9722222222222222,0.958904109589041,72.0
Muhammad Hussain Najafi,1.0,0.8,0.8888888888888888,5.0
May Ziadeh,0.9666666666666667,0.9354838709677419,0.9508196721311475,31.0
Victor Shemil,1.0,1.0,1.0,2.0
Ahmed Shakir alKarmi,1.0,1.0,1.0,2.0
Elia Abu Madi,0.8571428571428571,1.0,0.9230769230769231,6.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.9,0.8780487804878049,0.8888888888888888,41.0
Mohammed Amin al-Husseini ,1.0,1.0,1.0,8.0
Prof. Ign. Kratchkovsky,0.7222222222222222,0.9285714285714286,0.8125,14.0
Jirjis alKsus,0.75,0.75,0.75,4.0
Ibrahim Mejahid Al-Jaza'eri,1.0,1.0,1.0,10.0
Daoud Mujaes,1.0,0.8333333333333334,0.9090909090909091,12.0
Bechara El Khoury,0.8235294117647058,0.875,0.8484848484848485,16.0
Tawfiq,1.0,1.0,1.0,2.0
Youssef Ibrahim Yazbek,1.0,1.0,1.0,11.0
Margaret El Haddad,1.0,1.0,1.0,6.0
Elias Abu Shabaki,1.0,1.0,1.0,20.0
Habib,1.0,0.5,0.6666666666666666,2.0
Adham Al Jundi,1.0,1.0,1.0,2.0
Abd al-Khaliq Farid,1.0,1.0,1.0,8.0
Elie Maroun Khalil,1.0,1.0,1.0,11.0
Habib Abi Rached,1.0,1.0,1.0,3.0
Aziz Khoury,0.875,1.0,0.9333333333333333,7.0
Mary Khoury,1.0,1.0,1.0,2.0
Ghnatyos Mbarak,1.0,0.8666666666666667,0.9285714285714286,15.0
Abdallah Sfeir,1.0,0.6666666666666666,0.8,3.0
Youssef Nakad,1.0,1.0,1.0,3.0
Tanos Youssef Harfouche,1.0,1.0,1.0,3.0
JerJi Ass'ad Nader,0.0,0.0,0.0,2.0
Habib Abdallah al-Khoury,1.0,1.0,1.0,3.0
Serhal Maroun 'Tiyyeh,1.0,0.6666666666666666,0.8,3.0
Hanna Estphan,1.0,1.0,1.0,5.0
Slayman al-Farkh,1.0,1.0,1.0,2.0
Habib Boulos Nasr,1.0,1.0,1.0,3.0
Botros Feghaly,1.0,1.0,1.0,10.0
Toufiq Wehbeh,0.9230769230769231,1.0,0.96,24.0
Maronite Bishop of Sidon,0.625,1.0,0.7692307692307693,5.0
Halim Khoury Saadeh,1.0,1.0,1.0,7.0
Jebrayel Sa'd al 'Alam,1.0,1.0,1.0,3.0
Najib Ayoub,1.0,1.0,1.0,6.0
Youhanna Sfeir,0.8571428571428571,1.0,0.9230769230769231,6.0
Bishop Mkhayel Akhrass,0.6666666666666666,1.0,0.8,14.0
George Saad,1.0,1.0,1.0,17.0
Bishop Youseef El Khazen,1.0,1.0,1.0,3.0
Father Elias Najm,1.0,1.0,1.0,8.0
Bishop Aghnathios Mbarak,0.92,0.92,0.92,25.0
Dr. Abdo Harb,1.0,0.6666666666666666,0.8,3.0
Fathallah Khoury,1.0,1.0,1.0,11.0
Antonios Elias,1.0,0.6666666666666666,0.8,3.0
Francis Hcheme,1.0,1.0,1.0,3.0
Antoine Richa,1.0,0.3333333333333333,0.5,3.0
Botros El Kfouny,0.0,0.0,0.0,2.0
Salim Maalouf,1.0,1.0,1.0,2.0
Father Yaacoub Awad,1.0,0.6666666666666666,0.8,3.0
Wadih Salim Karam,1.0,0.6666666666666666,0.8,3.0
Father Youhanna El Khoury,1.0,1.0,1.0,5.0
